anneemut;Nom Officiel Région;Nom Officiel Département;Nom Officiel Commune / Arrondissement Municipal Majuscule;Libellé CATEAAV2020;Nom Officiel EPCI;codgeo_2020;nbmut;nbmut_vente;nbmut_ventem;nbmut_ventea;nbmut_vefa;nbmut_vefam;nbmut_vefaa;nbmut_tab;nbmut_adj;nbmut_expro;nbmut_ech;nbmut_act;nbmut_maison;nbmut_appart;nbmut_dep;nbmut_batind;nbmut_batimix;nbmut_terrain;vf_ventem;vf_vefam;vf_ventea;vf_vefaa;vfmed_ventem;vfmed_ventem_inf500;vfmed_ventem_500_1000;vfmed_ventem_sup1000;vfmed_vefam;vfmed_vefam_inf500;vfmed_vefam_500_1000;vfmed_vefam_sup1000;vfmed_ventea;vfmed_ventea_t1;vfmed_ventea_t2;vfmed_ventea_t3;vfmed_ventea_t4;vfmed_ventea_t5;vfm2_ventea;vfm2_ventea_t1;vfm2_ventea_t2;vfm2_ventea_t3;vfm2_ventea_t4;vfm2_ventea_t5;vfmed_vefaa;vfmed_vefaa_t1;vfmed_vefaa_t2;vfmed_vefaa_t3;vfmed_vefaa_t4;vfmed_vefaa_t5;vfm2_vefaa;vfm2_vefaa_t1;vfm2_vefaa_t2;vfm2_vefaa_t3;vfm2_vefaa_t4;vfm2_vefaa_t5;Code Officiel Département;Code Officiel EPCI;Code Officiel Région;Geo Point;Geo Shape;Code CATEAAV2020;Code Officiel Commune;Nom Officiel Commune;POP_2018;Nbre-menages_2018;Logement_2018;nbmut_ventevefa;VF_ventevefa
2016;Île-de-France;Paris;PARIS 12E ARRONDISSEMENT;;Métropole du Grand Paris;75112;2199;2121;0;1216;72;0;9;;;;;122;;1724;278;45;26;;0.0;0;390778716;4991785;;;;;;;;;280000;173000;271605;445000;572675;750000;7430;7064;7367;7669;7601;7248;555000;345000;555000;675000;778800;;10313;11180;10277;10003;10244;;75;200054781;11;48.8349622602, 2.42138671794;"{""coordinates"": [[[2.364455, 48.846186], [2.366088, 48.844968], [2.37355, 48.839329], [2.375322, 48.837608], [2.378358, 48.835023], [2.384305, 48.830311], [2.388512, 48.826744], [2.390072, 48.825692], [2.39434, 48.827539], [2.395707, 48.827727], [2.399205, 48.828626], [2.402237, 48.82959], [2.403551, 48.829175], [2.404929, 48.828444], [2.407707, 48.82635], [2.409175, 48.825502], [2.410104, 48.825134], [2.411139, 48.824898], [2.41242, 48.824749], [2.415303, 48.824786], [2.416513, 48.824736], [2.419963, 48.82408], [2.421826, 48.824059], [2.424654, 48.824191], [2.426233, 48.824128], [2.427958, 48.8239], [2.429861, 48.823432], [2.430628, 48.823157], [2.430371, 48.822877], [2.432195, 48.82162], [2.432634, 48.821901], [2.43289, 48.821693], [2.43248, 48.821426], [2.434288, 48.820158], [2.434144, 48.819216], [2.434902, 48.819669], [2.436028, 48.819593], [2.436925, 48.819365], [2.437442, 48.819111], [2.437329, 48.818177], [2.439854, 48.818291], [2.442326, 48.817904], [2.444181, 48.817875], [2.447786, 48.817966], [2.449423, 48.817908], [2.450807, 48.817729], [2.453452, 48.817149], [2.458717, 48.817034], [2.459119, 48.816997], [2.459115, 48.817365], [2.461205, 48.818355], [2.462696, 48.81906], [2.462867, 48.820178], [2.465044, 48.824084], [2.465731, 48.826226], [2.466178, 48.827328], [2.465232, 48.827667], [2.464662, 48.827623], [2.464611, 48.828356], [2.464702, 48.829277], [2.465004, 48.83035], [2.465426, 48.83132], [2.465823, 48.83187], [2.466569, 48.832521], [2.468485, 48.833507], [2.468891, 48.833797], [2.469496, 48.834471], [2.469724, 48.835195], [2.469851, 48.836399], [2.469662, 48.836788], [2.467319, 48.839099], [2.466164, 48.840423], [2.465259, 48.841174], [2.463741, 48.842023], [2.461794, 48.842731], [2.459873, 48.843181], [2.457844, 48.84355], [2.447853, 48.844863], [2.446497, 48.844968], [2.446646, 48.845802], [2.440758, 48.845964], [2.44052, 48.84444], [2.437958, 48.844664], [2.437184, 48.840893], [2.433578, 48.841204], [2.433545, 48.841046], [2.427575, 48.841571], [2.42492, 48.841808], [2.424347, 48.84195], [2.423948, 48.842196], [2.423492, 48.842656], [2.422435, 48.844058], [2.421848, 48.844437], [2.41986, 48.843456], [2.419849, 48.843102], [2.41939, 48.842577], [2.419358, 48.842322], [2.419539, 48.841449], [2.420394, 48.84044], [2.42093, 48.839329], [2.421586, 48.836756], [2.422139, 48.835798], [2.417338, 48.834189], [2.415968, 48.833864], [2.413921, 48.833712], [2.412587, 48.833779], [2.411472, 48.833929], [2.412246, 48.834539], [2.412852, 48.836217], [2.415664, 48.844996], [2.415971, 48.846623], [2.399121, 48.848098], [2.395958, 48.848378], [2.384458, 48.850127], [2.381426, 48.850408], [2.380115, 48.850455], [2.378896, 48.850625], [2.374776, 48.851627], [2.372012, 48.85238], [2.370228, 48.853282], [2.369124, 48.853166], [2.366444, 48.84731], [2.364455, 48.846186]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;1225.0;395770501.68
2017;Île-de-France;Paris;PARIS 17E ARRONDISSEMENT;;Métropole du Grand Paris;75117;4007;3818;6;2219;163;0;12;;12;;13;292;10;3013;516;115;53;8;5868600.0;0;954545456;5045917;915000.0;915000.0;;;;;;;335000;172000;304100;500000;783906;1223100;8856;8512;8445;9033;9261;9153;315000;287000;511000;655000;;;11734;12684;11354;10985;;;75;200054781;11;48.8873309211, 2.30677823519;"{""coordinates"": [[[2.327165, 48.883455], [2.327423, 48.883508], [2.325596, 48.887508], [2.330147, 48.901044], [2.320434, 48.900776], [2.319887, 48.90046], [2.31852, 48.899638], [2.312451, 48.897782], [2.307687, 48.89601], [2.303774, 48.894154], [2.298628, 48.891717], [2.295013, 48.889875], [2.291634, 48.889456], [2.291148, 48.889302], [2.285642, 48.886555], [2.28446, 48.885639], [2.284538, 48.885574], [2.281014, 48.882971], [2.280897, 48.882792], [2.279949, 48.878573], [2.295032, 48.873773], [2.298155, 48.878077], [2.308875, 48.880434], [2.31648, 48.881341], [2.327165, 48.883455]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;2237.0;965459973.64
2018;Île-de-France;Paris;PARIS 20E ARRONDISSEMENT;;Métropole du Grand Paris;75120;2678;2618;16;1518;47;0;27;;5;;8;141;24;2179;256;34;34;10;14160800.0;0;449772215;13132700;870000.0;870000.0;;;;;;;268970;180000;295000;430000;617000;680000;7776;7877;7978;7613;7848;5632;397000;267000;399900;;1050000;1375000;10332;10642;9650;;11129;10576;75;200054781;11;48.8634577594, 2.4011556775;"{""coordinates"": [[[2.376905, 48.872048], [2.37829, 48.870775], [2.382971, 48.867178], [2.383584, 48.866267], [2.387335, 48.86296], [2.389537, 48.858488], [2.392259, 48.85763], [2.394345, 48.85652], [2.398443, 48.851218], [2.399247, 48.84887], [2.399121, 48.848098], [2.415971, 48.846623], [2.41635, 48.8487], [2.416341, 48.849234], [2.415286, 48.855178], [2.41437, 48.860649], [2.413951, 48.864712], [2.413932, 48.869545], [2.413646, 48.872438], [2.413431, 48.87314], [2.412453, 48.876443], [2.41082, 48.878436], [2.409924, 48.878207], [2.406853, 48.877183], [2.406163, 48.877055], [2.402553, 48.875996], [2.398966, 48.875491], [2.395251, 48.875248], [2.392262, 48.875463], [2.390457, 48.875439], [2.389645, 48.875303], [2.388497, 48.874765], [2.386813, 48.874601], [2.384961, 48.873755], [2.382671, 48.87341], [2.379834, 48.872856], [2.377637, 48.872301], [2.376905, 48.872048]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;1561.0;477065715.82
2014;Île-de-France;Paris;PARIS 16E ARRONDISSEMENT;;Métropole du Grand Paris;75116;3267;3220;11;1444;7;0;0;;17;;23;116;17;2330;726;60;18;;22345682.0;0;817846349;0;1994300.0;1575000.0;2477500.0;;;;;;460000;221500;400000;600000;820000;1250000;8336;7305;8582;8544;8650;8307;;;;;;;;;;;;;75;200054781;11;48.8603736497, 2.26196792396;"{""coordinates"": [[[2.295032, 48.873773], [2.279949, 48.878573], [2.27947, 48.878532], [2.277487, 48.877968], [2.258467, 48.880387], [2.25541, 48.874264], [2.254817, 48.874081], [2.246533, 48.876142], [2.245704, 48.876459], [2.24301, 48.873785], [2.241856, 48.872901], [2.240945, 48.872342], [2.239225, 48.871573], [2.235576, 48.870523], [2.233702, 48.869898], [2.231736, 48.869069], [2.230659, 48.86808], [2.228377, 48.86538], [2.227181, 48.862385], [2.22567, 48.859405], [2.224407, 48.856154], [2.224219, 48.853517], [2.226594, 48.852812], [2.23918, 48.850042], [2.23977, 48.849832], [2.240184, 48.849571], [2.242362, 48.847658], [2.250516, 48.845555], [2.252478, 48.845486], [2.251216, 48.84289], [2.251709, 48.838822], [2.255144, 48.83481], [2.262792, 48.833923], [2.266032, 48.836838], [2.276057, 48.847248], [2.278021, 48.848888], [2.287837, 48.855764], [2.288207, 48.856134], [2.288513, 48.857021], [2.289696, 48.858183], [2.292196, 48.860254], [2.29369, 48.861246], [2.294865, 48.861876], [2.296871, 48.862619], [2.298589, 48.863144], [2.299222, 48.863284], [2.301737, 48.863496], [2.301635, 48.864491], [2.300298, 48.865008], [2.299842, 48.864987], [2.299838, 48.865537], [2.298867, 48.868644], [2.297501, 48.870939], [2.295543, 48.873303], [2.295032, 48.873773]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;1455.0;840192031.1
2015;Île-de-France;Paris;PARIS 14E ARRONDISSEMENT;;Métropole du Grand Paris;75114;2046;1960;13;1219;75;0;33;;;;11;80;17;1636;247;45;19;;15786355.0;0;415634184;14624678;1100000.0;1100000.0;;;;;;;292000;165000;278000;430000;648500;949340;7933;7570;8009;7928;7842;8663;423000;291000;435000;423000;572800;1670568;9066;9703;9437;6480;8547;12850;75;200054781;11;48.8292621904, 2.3265374238;"{""coordinates"": [[[2.314146, 48.822291], [2.332461, 48.818247], [2.331898, 48.817011], [2.333711, 48.816771], [2.341684, 48.81633], [2.343013, 48.816085], [2.343903, 48.815767], [2.344129, 48.817772], [2.344592, 48.819564], [2.34373, 48.820503], [2.342485, 48.821469], [2.341797, 48.82253], [2.341461, 48.823761], [2.341796, 48.826448], [2.341592, 48.82649], [2.3416, 48.828353], [2.341356, 48.829424], [2.34125, 48.831589], [2.341072, 48.831972], [2.342086, 48.838343], [2.339697, 48.838863], [2.336657, 48.839671], [2.324642, 48.843621], [2.321531, 48.841084], [2.321472, 48.840965], [2.321837, 48.840099], [2.321394, 48.839777], [2.319877, 48.840539], [2.314831, 48.836303], [2.311855, 48.834024], [2.307135, 48.830178], [2.306932, 48.829823], [2.301315, 48.825126], [2.314146, 48.822291]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;1265.0;446045217.73
2020;Île-de-France;Paris;PARIS 19E ARRONDISSEMENT;;Métropole du Grand Paris;75119;2012;1929;24;1034;73;0;5;;;;7;95;24;1576;203;82;28;;39324145.0;0;369228501;3130000;1390000.0;1390000.0;;;;;;;318620;200000;332000;515000;672580;795000;8956;8965;8957;8996;9092;8026;555000;315000;460000;;870000;;10364;10161;10572;;10285;;75;200054781;11;48.8870514819, 2.38482214749;"{""coordinates"": [[[2.376905, 48.872048], [2.377637, 48.872301], [2.379834, 48.872856], [2.382671, 48.87341], [2.384961, 48.873755], [2.386813, 48.874601], [2.388497, 48.874765], [2.389645, 48.875303], [2.390457, 48.875439], [2.392262, 48.875463], [2.395251, 48.875248], [2.398966, 48.875491], [2.402553, 48.875996], [2.406163, 48.877055], [2.406853, 48.877183], [2.409924, 48.878207], [2.41082, 48.878436], [2.40936, 48.880256], [2.404576, 48.881269], [2.401507, 48.882631], [2.400107, 48.883821], [2.399252, 48.885362], [2.399136, 48.888532], [2.398942, 48.889532], [2.398236, 48.89264], [2.397668, 48.894606], [2.395611, 48.89817], [2.390837, 48.900907], [2.389332, 48.901161], [2.38453, 48.902148], [2.370302, 48.901848], [2.37017, 48.901556], [2.370335, 48.900943], [2.370253, 48.900259], [2.37042, 48.896659], [2.371176, 48.895994], [2.371267, 48.895798], [2.371792, 48.895393], [2.370639, 48.894704], [2.370035, 48.894005], [2.368739, 48.891029], [2.367561, 48.888624], [2.366763, 48.886644], [2.364714, 48.884366], [2.367978, 48.884156], [2.368499, 48.884065], [2.368828, 48.883873], [2.369301, 48.883313], [2.370033, 48.88284], [2.370228, 48.882467], [2.37029, 48.877991], [2.376905, 48.872048]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;1063.0;411682646.98
2014;Île-de-France;Paris;PARIS 13E ARRONDISSEMENT;;Métropole du Grand Paris;75113;1605;1468;8;806;123;0;12;;7;;5;74;10;1216;187;99;12;7;8541776.0;0;239746514;5053800;870000.0;870000.0;;;;;;;269000;165500;265000;401950;547200;745000;7227;7497;7271;7255;6588;6802;268000;247000;449000;567000;1022000;;10798;12127;9467;9751;11613;;75;200054781;11;48.8284246249, 2.3622537471;"{""coordinates"": [[[2.343903, 48.815767], [2.344448, 48.815562], [2.344356, 48.816016], [2.345191, 48.816092], [2.346542, 48.815987], [2.347039, 48.816047], [2.351254, 48.817962], [2.352392, 48.818551], [2.355852, 48.815923], [2.356232, 48.815943], [2.363329, 48.816148], [2.364204, 48.816398], [2.380767, 48.821701], [2.381524, 48.822411], [2.385226, 48.823729], [2.386941, 48.824463], [2.389445, 48.825345], [2.390072, 48.825692], [2.388512, 48.826744], [2.384305, 48.830311], [2.378358, 48.835023], [2.375322, 48.837608], [2.37355, 48.839329], [2.366088, 48.844968], [2.365127, 48.844413], [2.361745, 48.839941], [2.351871, 48.836805], [2.347007, 48.837316], [2.342086, 48.838343], [2.341072, 48.831972], [2.34125, 48.831589], [2.341356, 48.829424], [2.3416, 48.828353], [2.341592, 48.82649], [2.341796, 48.826448], [2.341461, 48.823761], [2.341797, 48.82253], [2.342485, 48.821469], [2.34373, 48.820503], [2.344592, 48.819564], [2.344129, 48.817772], [2.343903, 48.815767]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;826.0;253342090.86
2014;Île-de-France;Paris;PARIS 20E ARRONDISSEMENT;;Métropole du Grand Paris;75120;2237;2171;10;1358;50;0;34;;11;;5;92;12;1852;210;35;31;5;9756160.0;0;347781678;12045464;820000.0;820000.0;;;;;;;226500;150000;240000;350000;520000;557000;6521;6439;6665;6526;6590;5186;287959;200668;321070;510000;790000;;9043;8464;7960;10481;10859;;75;200054781;11;48.8634577594, 2.4011556775;"{""coordinates"": [[[2.376905, 48.872048], [2.37829, 48.870775], [2.382971, 48.867178], [2.383584, 48.866267], [2.387335, 48.86296], [2.389537, 48.858488], [2.392259, 48.85763], [2.394345, 48.85652], [2.398443, 48.851218], [2.399247, 48.84887], [2.399121, 48.848098], [2.415971, 48.846623], [2.41635, 48.8487], [2.416341, 48.849234], [2.415286, 48.855178], [2.41437, 48.860649], [2.413951, 48.864712], [2.413932, 48.869545], [2.413646, 48.872438], [2.413431, 48.87314], [2.412453, 48.876443], [2.41082, 48.878436], [2.409924, 48.878207], [2.406853, 48.877183], [2.406163, 48.877055], [2.402553, 48.875996], [2.398966, 48.875491], [2.395251, 48.875248], [2.392262, 48.875463], [2.390457, 48.875439], [2.389645, 48.875303], [2.388497, 48.874765], [2.386813, 48.874601], [2.384961, 48.873755], [2.382671, 48.87341], [2.379834, 48.872856], [2.377637, 48.872301], [2.376905, 48.872048]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;1402.0;369583303.46
2015;Île-de-France;Paris;PARIS 17E ARRONDISSEMENT;;Métropole du Grand Paris;75117;3844;3660;0;2170;152;0;24;;9;;22;197;7;2986;446;174;26;8;0.0;0;843195479;9346611;1850000.0;1850000.0;;;;;;;311000;160000;279000;445000;750000;1162700;7855;7422;7553;7970;8555;7787;315000;285000;364000;634000;;;9675;11595;8793;9561;;;75;200054781;11;48.8873309211, 2.30677823519;"{""coordinates"": [[[2.327165, 48.883455], [2.327423, 48.883508], [2.325596, 48.887508], [2.330147, 48.901044], [2.320434, 48.900776], [2.319887, 48.90046], [2.31852, 48.899638], [2.312451, 48.897782], [2.307687, 48.89601], [2.303774, 48.894154], [2.298628, 48.891717], [2.295013, 48.889875], [2.291634, 48.889456], [2.291148, 48.889302], [2.285642, 48.886555], [2.28446, 48.885639], [2.284538, 48.885574], [2.281014, 48.882971], [2.280897, 48.882792], [2.279949, 48.878573], [2.295032, 48.873773], [2.298155, 48.878077], [2.308875, 48.880434], [2.31648, 48.881341], [2.327165, 48.883455]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;2194.0;852542090.33
2018;Île-de-France;Paris;PARIS 19E ARRONDISSEMENT;;Métropole du Grand Paris;75119;2372;2245;27;1168;116;0;29;;8;;;98;32;1857;236;95;49;5;33555454.0;0;357172201;11305472;1229150.0;1229150.0;;;;;;;268000;173000;287900;442500;561000;757500;7702;7663;7735;7884;6901;8162;344000;209178;344000;485500;873000;1350000;7995;7969;8496;6941;9287;10887;75;200054781;11;48.8870514819, 2.38482214749;"{""coordinates"": [[[2.376905, 48.872048], [2.377637, 48.872301], [2.379834, 48.872856], [2.382671, 48.87341], [2.384961, 48.873755], [2.386813, 48.874601], [2.388497, 48.874765], [2.389645, 48.875303], [2.390457, 48.875439], [2.392262, 48.875463], [2.395251, 48.875248], [2.398966, 48.875491], [2.402553, 48.875996], [2.406163, 48.877055], [2.406853, 48.877183], [2.409924, 48.878207], [2.41082, 48.878436], [2.40936, 48.880256], [2.404576, 48.881269], [2.401507, 48.882631], [2.400107, 48.883821], [2.399252, 48.885362], [2.399136, 48.888532], [2.398942, 48.889532], [2.398236, 48.89264], [2.397668, 48.894606], [2.395611, 48.89817], [2.390837, 48.900907], [2.389332, 48.901161], [2.38453, 48.902148], [2.370302, 48.901848], [2.37017, 48.901556], [2.370335, 48.900943], [2.370253, 48.900259], [2.37042, 48.896659], [2.371176, 48.895994], [2.371267, 48.895798], [2.371792, 48.895393], [2.370639, 48.894704], [2.370035, 48.894005], [2.368739, 48.891029], [2.367561, 48.888624], [2.366763, 48.886644], [2.364714, 48.884366], [2.367978, 48.884156], [2.368499, 48.884065], [2.368828, 48.883873], [2.369301, 48.883313], [2.370033, 48.88284], [2.370228, 48.882467], [2.37029, 48.877991], [2.376905, 48.872048]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;1224.0;402033127.73
2019;Île-de-France;Paris;PARIS 20E ARRONDISSEMENT;;Métropole du Grand Paris;75120;2667;2627;17;1504;20;0;14;;11;;9;124;21;2169;277;33;40;;21277680.0;0;499421893;5361045;1217000.0;1100000.0;2961620.0;;;;;;300000;190000;320000;460000;680000;650000;8469;8616;8644;8306;8523;5710;274000;262000;428361;649900;;;10940;12256;10075;10112;;;75;200054781;11;48.8634577594, 2.4011556775;"{""coordinates"": [[[2.376905, 48.872048], [2.37829, 48.870775], [2.382971, 48.867178], [2.383584, 48.866267], [2.387335, 48.86296], [2.389537, 48.858488], [2.392259, 48.85763], [2.394345, 48.85652], [2.398443, 48.851218], [2.399247, 48.84887], [2.399121, 48.848098], [2.415971, 48.846623], [2.41635, 48.8487], [2.416341, 48.849234], [2.415286, 48.855178], [2.41437, 48.860649], [2.413951, 48.864712], [2.413932, 48.869545], [2.413646, 48.872438], [2.413431, 48.87314], [2.412453, 48.876443], [2.41082, 48.878436], [2.409924, 48.878207], [2.406853, 48.877183], [2.406163, 48.877055], [2.402553, 48.875996], [2.398966, 48.875491], [2.395251, 48.875248], [2.392262, 48.875463], [2.390457, 48.875439], [2.389645, 48.875303], [2.388497, 48.874765], [2.386813, 48.874601], [2.384961, 48.873755], [2.382671, 48.87341], [2.379834, 48.872856], [2.377637, 48.872301], [2.376905, 48.872048]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;1535.0;526060618.94
2016;Île-de-France;Paris;PARIS 11E ARRONDISSEMENT;;Métropole du Grand Paris;75111;3241;3198;0;1906;21;0;10;;6;;15;180;;2608;345;60;43;;0.0;0;609286533;4986300;;;;;;;;;265000;173000;271000;445800;658000;917050;7936;7822;7981;8042;7760;7942;481000;331000;530000;794000;;;10816;11570;10362;11183;;;75;200054781;11;48.8590549282, 2.38002516623;"{""coordinates"": [[[2.369124, 48.853166], [2.370228, 48.853282], [2.372012, 48.85238], [2.374776, 48.851627], [2.378896, 48.850625], [2.380115, 48.850455], [2.381426, 48.850408], [2.384458, 48.850127], [2.395958, 48.848378], [2.399121, 48.848098], [2.399247, 48.84887], [2.398443, 48.851218], [2.394345, 48.85652], [2.392259, 48.85763], [2.389537, 48.858488], [2.387335, 48.86296], [2.383584, 48.866267], [2.382971, 48.867178], [2.37829, 48.870775], [2.376905, 48.872048], [2.37335, 48.870723], [2.369358, 48.869485], [2.367611, 48.868819], [2.365618, 48.868237], [2.363872, 48.867516], [2.364307, 48.867309], [2.36489, 48.86617], [2.366748, 48.863076], [2.368491, 48.855805], [2.369124, 48.853166]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;1916.0;614272833.01
2018;Île-de-France;Paris;PARIS 3E ARRONDISSEMENT;;Métropole du Grand Paris;75103;1065;1058;0;618;;0;0;;;;6;129;;795;89;21;31;;0.0;0;293553993;0;;;;;;;;;372000;231000;415900;603000;964375;1281500;10522;10385;10413;9992;10829;11656;;;;;;;;;;;;;75;200054781;11;48.8628777616, 2.35999851631;"{""coordinates"": [[[2.368491, 48.855805], [2.366748, 48.863076], [2.36489, 48.86617], [2.364307, 48.867309], [2.363872, 48.867516], [2.36329, 48.867816], [2.356496, 48.868829], [2.354253, 48.869324], [2.350955, 48.863402], [2.350164, 48.861985], [2.3535, 48.861213], [2.356742, 48.860147], [2.359345, 48.858339], [2.361768, 48.857244], [2.364941, 48.856306], [2.368279, 48.855785], [2.368491, 48.855805]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;618.0;293553993.25
2014;Île-de-France;Paris;PARIS 4E ARRONDISSEMENT;;Métropole du Grand Paris;75104;544;529;0;296;11;0;0;;;;;54;;412;58;9;11;;0.0;0;137708964;0;;;;;;;;;370000;240000;400000;620000;802000;1100000;10156;9890;10235;11493;8774;8935;670000;670000;;;;;;;;;;;75;200054781;11;48.8543509809, 2.35762422536;"{""coordinates"": [[[2.368491, 48.855805], [2.368279, 48.855785], [2.364941, 48.856306], [2.361768, 48.857244], [2.359345, 48.858339], [2.356742, 48.860147], [2.3535, 48.861213], [2.350164, 48.861985], [2.347574, 48.857359], [2.347115, 48.857241], [2.345876, 48.855306], [2.344634, 48.854089], [2.346674, 48.853399], [2.349024, 48.852363], [2.351245, 48.851688], [2.354597, 48.850986], [2.359308, 48.849428], [2.361058, 48.848556], [2.362261, 48.847812], [2.364455, 48.846186], [2.366444, 48.84731], [2.369124, 48.853166], [2.368491, 48.855805]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;296.0;137708964.19
2014;Île-de-France;Paris;PARIS 5E ARRONDISSEMENT;;Métropole du Grand Paris;75105;883;878;0;569;;0;0;;;;;74;;701;77;18;10;;0.0;0;252624192;0;515500.0;515500.0;;;;;;;331000;215000;360000;560000;835000;1150000;9775;9147;10014;9921;9921;9887;;;;;;;;;;;;;75;200054781;11;48.8444529052, 2.35070647127;"{""coordinates"": [[[2.342086, 48.838343], [2.347007, 48.837316], [2.351871, 48.836805], [2.361745, 48.839941], [2.365127, 48.844413], [2.366088, 48.844968], [2.364455, 48.846186], [2.362261, 48.847812], [2.361058, 48.848556], [2.359308, 48.849428], [2.354597, 48.850986], [2.351245, 48.851688], [2.349024, 48.852363], [2.346674, 48.853399], [2.344634, 48.854089], [2.344281, 48.853757], [2.342632, 48.850348], [2.340482, 48.84671], [2.337256, 48.840875], [2.336771, 48.840746], [2.336657, 48.839671], [2.339697, 48.838863], [2.342086, 48.838343]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;569.0;252624192.66
2016;Île-de-France;Paris;PARIS 6E ARRONDISSEMENT;;Métropole du Grand Paris;75106;1010;1003;0;531;;0;0;;;;;77;;756;137;24;13;;0.0;0;364295548;0;1200000.0;1200000.0;;;;;;;515000;247000;450000;690000;1079000;1558300;11848;11035;11666;11284;12621;12228;;;;;;;;;;;;;75;200054781;11;48.8491205237, 2.33288375755;"{""coordinates"": [[[2.336657, 48.839671], [2.336771, 48.840746], [2.337256, 48.840875], [2.340482, 48.84671], [2.342632, 48.850348], [2.344281, 48.853757], [2.344634, 48.854089], [2.34293, 48.854833], [2.342506, 48.855104], [2.341368, 48.856128], [2.340567, 48.856675], [2.337672, 48.858311], [2.332916, 48.859335], [2.332452, 48.858531], [2.33327, 48.858291], [2.330772, 48.855112], [2.329396, 48.852731], [2.328659, 48.852056], [2.328657, 48.851868], [2.326814, 48.851581], [2.326877, 48.851362], [2.324162, 48.850235], [2.319541, 48.847914], [2.316713, 48.846863], [2.316983, 48.846636], [2.319893, 48.845166], [2.324642, 48.843621], [2.336657, 48.839671]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;531.0;364295548.64
2016;Île-de-France;Paris;PARIS 16E ARRONDISSEMENT;;Métropole du Grand Paris;75116;3791;3721;14;1659;40;0;0;;11;;19;131;20;2678;825;94;42;;38299700.0;0;932382152;0;2690000.0;2690000.0;;;;;;;452000;215000;394905;620000;830000;1270000;8593;8458;8629;8615;8667;8546;970000;;970000;;;;;;;;;;75;200054781;11;48.8603736497, 2.26196792396;"{""coordinates"": [[[2.295032, 48.873773], [2.279949, 48.878573], [2.27947, 48.878532], [2.277487, 48.877968], [2.258467, 48.880387], [2.25541, 48.874264], [2.254817, 48.874081], [2.246533, 48.876142], [2.245704, 48.876459], [2.24301, 48.873785], [2.241856, 48.872901], [2.240945, 48.872342], [2.239225, 48.871573], [2.235576, 48.870523], [2.233702, 48.869898], [2.231736, 48.869069], [2.230659, 48.86808], [2.228377, 48.86538], [2.227181, 48.862385], [2.22567, 48.859405], [2.224407, 48.856154], [2.224219, 48.853517], [2.226594, 48.852812], [2.23918, 48.850042], [2.23977, 48.849832], [2.240184, 48.849571], [2.242362, 48.847658], [2.250516, 48.845555], [2.252478, 48.845486], [2.251216, 48.84289], [2.251709, 48.838822], [2.255144, 48.83481], [2.262792, 48.833923], [2.266032, 48.836838], [2.276057, 48.847248], [2.278021, 48.848888], [2.287837, 48.855764], [2.288207, 48.856134], [2.288513, 48.857021], [2.289696, 48.858183], [2.292196, 48.860254], [2.29369, 48.861246], [2.294865, 48.861876], [2.296871, 48.862619], [2.298589, 48.863144], [2.299222, 48.863284], [2.301737, 48.863496], [2.301635, 48.864491], [2.300298, 48.865008], [2.299842, 48.864987], [2.299838, 48.865537], [2.298867, 48.868644], [2.297501, 48.870939], [2.295543, 48.873303], [2.295032, 48.873773]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;1673.0;970681852.64
2017;Île-de-France;Paris;PARIS 2E ARRONDISSEMENT;;Métropole du Grand Paris;75102;756;751;0;472;;0;0;;;;;116;;572;30;14;24;;0.0;0;205450368;0;;;;;;;;;330000;208000;361000;650000;916730;1267000;9713;9549;9261;10268;9486;11049;280000;280000;;;;;;;;;;;75;200054781;11;48.8682666326, 2.34278512518;"{""coordinates"": [[[2.354253, 48.869324], [2.347918, 48.870688], [2.340041, 48.871972], [2.327999, 48.869921], [2.330107, 48.868409], [2.330426, 48.86826], [2.350955, 48.863402], [2.354253, 48.869324]]], ""type"": ""Polygon""}";;75056;Paris;2175601.0;1140772.0;1386846.10496083;472.0;205450368.5
